,ethnicity,gender,AgeGroup,pixels
0,0,0,1,[  0.   0.   0. ... 108. 124. 146.]
1,0,1,1,[94. 53. 35. ... 17. 16. 13.]
2,0,0,3,[157. 172. 171. ... 178. 179. 180.]
3,3,1,0,[ 57.  68.  81. ... 147. 137. 137.]
4,1,1,0,[62. 60. 75. ...  0.  0.  0.]
5,3,0,2,[143.  77.  21. ... 109. 158. 109.]
6,2,0,4,[222. 225. 219. ... 204. 205. 209.]
7,0,1,0,[ 85.  77.  85. ...  48. 104. 162.]
8,3,0,0,[161. 126.  48. ...  67.  70.  86.]
9,3,0,2,[ 64.  61.  61. ... 240. 236. 240.]
10,0,1,4,[123. 114. 104. ... 190. 207. 237.]
11,3,0,1,[34. 31. 22. ... 24. 23. 15.]
12,0,0,1,[ 56.  67.  75. ... 152. 144. 146.]
13,0,0,3,[ 75.  82.  87. ... 219. 218. 218.]
14,0,1,1,[75. 67. 60. ... 50. 46. 42.]
15,1,1,1,[ 75.  77. 116. ...  48.  51.  54.]
16,0,1,4,[114. 115. 148. ... 110. 105. 107.]
17,0,0,2,[21. 21. 21. ... 37. 22. 22.]
18,0,0,1,[0. 0. 1. ... 9. 8. 8.]
19,1,0,3,[86. 87. 87. ... 56. 56. 57.]
20,2,0,1,[ 21.  16.  14. ... 227. 225. 225.]
21,3,0,1,[  0.   0.   0. ... 143. 147.  87.]
22,2,0,1,[12. 13. 18. ... 35. 31. 27.]
23,0,1,1,[ 71.  79.  68. ... 143. 143. 146.]
24,2,1,1,[  0.   0.   0. ... 145. 144. 157.]
25,0,0,1,[ 31.  26.  32. ... 175. 180. 180.]
26,0,0,0,[168. 166. 165. ...  68.  63.  70.]
27,0,0,4,[171. 183. 181. ... 184. 216. 233.]
28,0,0,3,[249. 254. 250. ...  33.  23.  43.]
29,3,0,1,[29. 57. 65. ... 52. 44. 45.]
30,1,1,1,[32. 31. 38. ... 42. 46. 57.]
31,2,1,0,[106. 140. 151. ... 194. 194. 198.]
32,0,1,2,[23. 23. 28. ... 16. 23. 28.]
33,0,1,3,[27. 31. 26. ... 20. 16. 12.]
34,3,1,2,[29. 22. 25. ... 18. 41. 79.]
35,0,1,1,[142. 106.  88. ...  61.  59.  57.]
36,1,0,1,[  7.   7.   8. ...  36.  31. 106.]
37,1,1,2,[111. 114. 114. ... 165. 184. 214.]
38,2,0,0,[ 88.  89.  69. ... 247. 247. 247.]
39,0,0,2,[  8.  27.  56. ... 177. 201. 213.]
40,2,0,2,[52. 64. 92. ... 37. 37. 38.]
41,0,1,3,[ 93.  71.  68. ... 185. 196. 187.]
42,0,1,2,[35. 36. 33. ... 38. 39. 47.]
43,3,0,3,[ 77.  31.  30. ... 201. 222. 226.]
44,0,1,1,[ 27.  19.  19. ...  75. 113. 147.]
45,2,0,4,[27. 35. 79. ... 66. 44. 50.]
46,0,1,3,[14. 13. 19. ... 21. 27. 28.]
47,0,1,3,[181. 180. 180. ...  78.  97.  93.]
48,0,0,3,[155. 159. 158. ...  91. 101. 108.]
49,0,1,4,[220. 217. 204. ... 193. 216. 204.]
50,1,1,1,[109. 122. 106. ... 152. 146. 138.]
51,0,0,1,[13. 11. 11. ... 64. 67. 68.]
52,2,0,3,[44. 38. 33. ... 11. 16. 20.]
53,0,0,0,[100.  94.  98. ... 249. 248. 248.]
54,3,1,0,[52. 51. 64. ... 46. 53. 55.]
55,0,0,3,[122. 133. 134. ... 111. 150. 106.]
56,2,0,4,[146. 141. 146. ... 160. 156. 149.]
57,1,1,1,[ 7.  1.  4. ... 14. 14. 10.]
58,0,0,2,[152. 154. 149. ... 144. 150. 124.]
59,1,1,1,[ 8.  5.  5. ... 52. 17. 13.]
60,1,0,2,[232. 232. 233. ...  22.  17.  17.]
61,1,1,0,[ 85.  87.  27. ...  22. 139. 214.]
62,1,1,4,[132. 111. 117. ... 218. 219. 192.]
63,0,0,2,[147. 142. 131. ...  66.  72.  68.]
64,3,0,4,[125. 125. 126. ... 231. 230. 226.]
65,0,0,0,[180. 187. 192. ... 174. 176. 173.]
66,0,0,3,[  3.   4.   9. ... 115. 111. 106.]
67,2,1,3,[ 17.  27.  34. ... 226. 222. 230.]
68,2,0,3,[170. 186. 194. ... 254. 254. 254.]
69,3,1,1,[71. 58. 47. ... 18. 15. 20.]
70,0,0,3,[56. 73. 64. ... 40. 19.  6.]
71,1,0,2,[199. 147.  22. ... 250. 251. 249.]
72,2,0,1,[ 3.  3.  3. ... 45. 71.  1.]
73,0,0,1,[ 25.  23.  20. ... 205. 206. 212.]
74,0,0,3,[115. 147. 157. ... 137. 119. 148.]
75,0,1,1,[42. 38. 42. ... 80. 80. 97.]
76,0,1,1,[ 34.  30.  39. ...  28.  68. 112.]
77,3,1,1,[ 16.  17.  17. ...  66. 118. 142.]
78,0,1,1,[ 97. 106. 110. ...   0.   0.   0.]
79,0,0,1,[86. 86. 86. ... 64. 58. 52.]
80,2,0,4,[ 65.  30.  27. ... 154. 138. 196.]
81,1,1,1,[115. 116. 117. ...  33.  30.  30.]
82,1,0,3,[229. 233.  74. ...  51.  50.  45.]
83,1,1,1,[ 0.  0.  0. ... 19. 12. 34.]
84,1,1,1,[74. 75. 72. ... 80. 81. 58.]
85,2,0,2,[ 8.  9.  9. ... 66. 63. 69.]
86,0,1,1,[27. 43. 64. ... 47. 41. 54.]
87,0,0,0,[ 39.  56. 171. ... 216. 226. 230.]
88,0,1,0,[124. 135. 150. ...  74. 172. 221.]
89,1,0,1,[149. 149. 149. ...  47.  59.  66.]
90,0,1,1,[ 67.  69.  72. ... 192. 190. 188.]
91,3,0,2,[ 66.  65.  65. ... 250. 251. 251.]
92,0,0,2,[82. 82. 80. ... 36.  7.  9.]
93,0,0,3,[166. 145. 100. ... 158. 157. 157.]
94,1,0,1,[242. 146.   1. ... 148. 127.  15.]
95,0,1,1,[139. 190. 243. ...  36.  17.  10.]
96,1,1,3,[34. 28. 18. ... 55. 51. 49.]
97,3,0,2,[72. 68. 67. ... 13. 15. 23.]
98,1,1,1,[ 15.  39.  82. ... 132. 175. 183.]
99,1,1,1,[41. 52. 47. ... 13. 56. 76.]
